t,o,d,m,c,value
1983,EU27,EU27,Ni,refined_metal,0.0
1983,EU27,ROW,Ni,refined_metal,0.0
1983,ROW,CHN,Ni,refined_metal,0.0
1983,ROW,EU27,Ni,refined_metal,19.300257232554856
1983,ROW,ROW,Ni,refined_metal,0.0
1983,CHN,CHN,Ni,scrap,0.04469814890972407
1983,CHN,EU27,Ni,scrap,3.356400137638631
1983,CHN,ROW,Ni,scrap,11.245084840768216
1983,EU27,CHN,Ni,scrap,0.1353090887106926
1983,EU27,EU27,Ni,scrap,10.160408317793358
1983,EU27,ROW,Ni,scrap,34.04083210138835
1983,ROW,CHN,Ni,scrap,0.24418391666659636
1983,ROW,EU27,Ni,scrap,18.33585845275586
1983,ROW,ROW,Ni,scrap,61.43137750989929
1983,CHN,CHN,Sn,concentrate,
1983,CHN,EU27,Sn,concentrate,
1983,CHN,ROW,Sn,concentrate,
1983,EU27,CHN,Sn,concentrate,
1983,EU27,EU27,Sn,concentrate,
1983,EU27,ROW,Sn,concentrate,
1983,ROW,CHN,Sn,concentrate,
1983,ROW,EU27,Sn,concentrate,
1983,ROW,ROW,Sn,concentrate,
1983,CHN,CHN,Sn,refined_metal,0.0
1983,CHN,EU27,Sn,refined_metal,0.0
1983,CHN,ROW,Sn,refined_metal,0.0
1983,EU27,CHN,Sn,refined_metal,0.0
1983,EU27,EU27,Sn,refined_metal,0.0
1983,EU27,ROW,Sn,refined_metal,0.0
1983,ROW,CHN,Sn,refined_metal,0.0
1983,ROW,EU27,Sn,refined_metal,0.0
1983,ROW,ROW,Sn,refined_metal,0.0
1983,CHN,CHN,Sn,scrap,0.02232529866174501
1983,CHN,EU27,Sn,scrap,1.124946932421213
1983,CHN,ROW,Sn,scrap,9.20794489328786
1983,EU27,CHN,Sn,scrap,0.5886182556385422
1983,EU27,EU27,Sn,scrap,29.659818266276517
1983,EU27,ROW,Sn,scrap,242.77231598205555
1983,ROW,CHN,Sn,scrap,2.1345401784712927
1983,ROW,EU27,Sn,scrap,107.557102025054
1983,ROW,ROW,Sn,scrap,880.3791892626008
1983,CHN,CHN,Zn,concentrate,
1983,CHN,EU27,Zn,concentrate,
1983,CHN,ROW,Zn,concentrate,
1983,EU27,CHN,Zn,concentrate,
1983,EU27,EU27,Zn,concentrate,
1983,EU27,ROW,Zn,concentrate,
1983,ROW,CHN,Zn,concentrate,
1983,ROW,EU27,Zn,concentrate,
1983,ROW,ROW,Zn,concentrate,
1983,CHN,CHN,Zn,refined_metal,0.0
1983,CHN,EU27,Zn,refined_metal,0.0
1983,CHN,ROW,Zn,refined_metal,0.0
1983,EU27,CHN,Zn,refined_metal,0.0
1983,EU27,EU27,Zn,refined_metal,0.0
1983,EU27,ROW,Zn,refined_metal,0.0
1983,ROW,CHN,Zn,refined_metal,0.0
1983,ROW,EU27,Zn,refined_metal,0.0
1983,ROW,ROW,Zn,refined_metal,0.0
1983,CHN,CHN,Zn,scrap,74.68234162899667
1983,CHN,EU27,Zn,scrap,403.1713671030505
1983,CHN,ROW,Zn,scrap,604.271574973688
1983,EU27,CHN,Zn,scrap,278.2732475981239
1983,EU27,EU27,Zn,scrap,1502.2534539648248
1983,EU27,ROW,Zn,scrap,2251.571254079067
1983,ROW,CHN,Zn,scrap,354.7406237283289
1983,ROW,EU27,Zn,scrap,1915.0612998455958
1983,ROW,ROW,Zn,scrap,2870.2859435280084
1984,CHN,CHN,Ni,concentrate,
1984,CHN,EU27,Ni,concentrate,
1984,CHN,ROW,Ni,concentrate,
1984,EU27,CHN,Ni,concentrate,
1984,EU27,EU27,Ni,concentrate,
1984,EU27,ROW,Ni,concentrate,
1984,ROW,CHN,Ni,concentrate,
1984,ROW,EU27,Ni,concentrate,
1984,ROW,ROW,Ni,concentrate,
1984,CHN,CHN,Ni,refined_metal,0.0
1984,CHN,EU27,Ni,refined_metal,3.306969327464966
1984,CHN,ROW,Ni,refined_metal,0.0
1984,EU27,CHN,Ni,refined_metal,0.0
1984,EU27,EU27,Ni,refined_metal,0.0
1984,EU27,ROW,Ni,refined_metal,0.0
1984,ROW,CHN,Ni,refined_metal,0.0
1984,ROW,EU27,Ni,refined_metal,28.618829732560574
1984,ROW,ROW,Ni,refined_metal,0.0
1984,CHN,CHN,Ni,scrap,0.04912322877323081
1984,CHN,EU27,Ni,scrap,6.1540160208629
1984,CHN,ROW,Ni,scrap,11.503713155879721
1984,EU27,CHN,Ni,scrap,0.13276895279472942
1984,EU27,EU27,Ni,scrap,16.632910396500737
1984,EU27,ROW,Ni,scrap,31.091929156525804
1984,ROW,CHN,Ni,scrap,0.24048387913686442
1984,ROW,EU27,Ni,scrap,30.127124823154944
1984,ROW,ROW,Ni,scrap,56.31668832223195
1984,CHN,CHN,Sn,concentrate,
1984,CHN,EU27,Sn,concentrate,
1984,CHN,ROW,Sn,concentrate,
1984,EU27,CHN,Sn,concentrate,
1984,EU27,EU27,Sn,concentrate,
1984,EU27,ROW,Sn,concentrate,
1984,ROW,CHN,Sn,concentrate,
1984,ROW,EU27,Sn,concentrate,
1984,ROW,ROW,Sn,concentrate,
1984,CHN,CHN,Sn,refined_metal,3.475842222680268e-16
1984,CHN,EU27,Sn,refined_metal,2.248814392017685
1984,CHN,ROW,Sn,refined_metal,0.0
1984,EU27,CHN,Sn,refined_metal,2.904343314469747e-19
1984,EU27,EU27,Sn,refined_metal,0.0018790637280145348
1984,EU27,ROW,Sn,refined_metal,0.0
1984,ROW,CHN,Sn,refined_metal,3.2048390222007894e-15
1984,ROW,EU27,Sn,refined_metal,20.734796505428076
1984,ROW,ROW,Sn,refined_metal,0.0
1984,CHN,CHN,Sn,scrap,0.009103089291871227
1984,CHN,EU27,Sn,scrap,0.4172249032039969
1984,CHN,ROW,Sn,scrap,9.828807253767405
1984,EU27,CHN,Sn,scrap,0.21371501553966057
1984,EU27,EU27,Sn,scrap,9.795271013259104
1984,EU27,ROW,Sn,scrap,230.75283869301015
1984,ROW,CHN,Sn,scrap,0.9208991119312214
1984,ROW,EU27,Sn,scrap,42.20787366979348
1984,ROW,ROW,Sn,scrap,994.3151803882789
1984,CHN,CHN,Zn,concentrate,
1984,CHN,EU27,Zn,concentrate,
1984,CHN,ROW,Zn,concentrate,
1984,EU27,CHN,Zn,concentrate,
1984,EU27,EU27,Zn,concentrate,
1984,EU27,ROW,Zn,concentrate,
1984,ROW,CHN,Zn,concentrate,
1984,ROW,EU27,Zn,concentrate,
1984,ROW,ROW,Zn,concentrate,
1984,CHN,CHN,Zn,refined_metal,0.0
1984,CHN,EU27,Zn,refined_metal,0.0
1984,CHN,ROW,Zn,refined_metal,0.0
1984,EU27,CHN,Zn,refined_metal,0.0
1984,EU27,EU27,Zn,refined_metal,0.0
1984,EU27,ROW,Zn,refined_metal,0.0
1984,ROW,CHN,Zn,refined_metal,0.0
1984,ROW,EU27,Zn,refined_metal,0.0
1984,ROW,ROW,Zn,refined_metal,0.0
1984,CHN,CHN,Zn,scrap,81.44695969293146
1984,CHN,EU27,Zn,scrap,481.1812255315083
1984,CHN,ROW,Zn,scrap,460.02972365038096
1984,EU27,CHN,Zn,scrap,323.31559890849906
1984,EU27,EU27,Zn,scrap,1910.1191340079815
1984,EU27,ROW,Zn,scrap,1826.155158872585
1984,ROW,CHN,Zn,scrap,436.6156056971702
1984,ROW,EU27,Zn,scrap,2579.485262895324
1984,ROW,ROW,Zn,scrap,2466.0976565309984
1985,CHN,CHN,Ni,concentrate,
1985,CHN,EU27,Ni,concentrate,
1985,CHN,ROW,Ni,concentrate,
1985,EU27,CHN,Ni,concentrate,
1985,EU27,EU27,Ni,concentrate,
1985,EU27,ROW,Ni,concentrate,
1985,ROW,CHN,Ni,concentrate,
1985,ROW,EU27,Ni,concentrate,
1985,ROW,ROW,Ni,concentrate,
1985,CHN,CHN,Ni,refined_metal,0.0
1985,CHN,EU27,Ni,refined_metal,0.5542405331726301
1985,CHN,ROW,Ni,refined_metal,0.0
1985,EU27,CHN,Ni,refined_metal,0.0
1985,EU27,EU27,Ni,refined_metal,0.0
1985,EU27,ROW,Ni,refined_metal,0.0
1985,ROW,CHN,Ni,refined_metal,0.0
1985,ROW,EU27,Ni,refined_metal,4.242162715789582
1985,ROW,ROW,Ni,refined_metal,0.0
1985,CHN,CHN,Ni,scrap,0.05187039323882376
1985,CHN,EU27,Ni,scrap,6.399431609539704
1985,CHN,ROW,Ni,scrap,14.413094844414783
1985,EU27,CHN,Ni,scrap,0.13296066342935306
1985,EU27,EU27,Ni,scrap,16.403821510616844
1985,EU27,ROW,Ni,scrap,36.945442918856
1985,ROW,CHN,Ni,scrap,0.23088553305839313
1985,ROW,EU27,Ni,scrap,28.48515475169763
1985,ROW,ROW,Ni,scrap,64.15557851763353
1985,CHN,CHN,Sn,concentrate,
1985,CHN,EU27,Sn,concentrate,
1985,CHN,ROW,Sn,concentrate,
1985,EU27,CHN,Sn,concentrate,
1985,EU27,EU27,Sn,concentrate,
1985,EU27,ROW,Sn,concentrate,
1985,ROW,CHN,Sn,concentrate,
1985,ROW,EU27,Sn,concentrate,
1985,ROW,ROW,Sn,concentrate,
1985,CHN,CHN,Sn,refined_metal,0.0
1985,CHN,EU27,Sn,refined_metal,0.270809410697581
1985,CHN,ROW,Sn,refined_metal,0.0
1985,EU27,CHN,Sn,refined_metal,0.0
1985,EU27,EU27,Sn,refined_metal,0.00011238845208930231
1985,EU27,ROW,Sn,refined_metal,0.0
1985,ROW,CHN,Sn,refined_metal,0.0
1985,ROW,EU27,Sn,refined_metal,2.501100284592614
1985,ROW,ROW,Sn,refined_metal,0.0
1985,CHN,CHN,Sn,scrap,0.01150359076037346
1985,CHN,EU27,Sn,scrap,0.5029625242752763
1985,CHN,ROW,Sn,scrap,9.516664472642239
1985,EU27,CHN,Sn,scrap,0.23828376328241976
1985,EU27,EU27,Sn,scrap,10.418295084625163
1985,EU27,ROW,Sn,scrap,197.12685123055255
1985,ROW,CHN,Sn,scrap,1.2449086833469252
1985,ROW,EU27,Sn,scrap,54.430171144931506
1985,ROW,ROW,Sn,scrap,1029.885231948819
1985,CHN,CHN,Zn,concentrate,
1985,CHN,EU27,Zn,concentrate,
1985,CHN,ROW,Zn,concentrate,
1985,EU27,CHN,Zn,concentrate,
1985,EU27,EU27,Zn,concentrate,
1985,EU27,ROW,Zn,concentrate,
1985,ROW,CHN,Zn,concentrate,
1985,ROW,EU27,Zn,concentrate,
1985,ROW,ROW,Zn,concentrate,
1985,CHN,CHN,Zn,refined_metal,0.0
1985,CHN,EU27,Zn,refined_metal,0.0
1985,CHN,ROW,Zn,refined_metal,0.0
1985,EU27,CHN,Zn,refined_metal,0.0
1985,EU27,EU27,Zn,refined_metal,0.0
1985,EU27,ROW,Zn,refined_metal,0.0
1985,ROW,CHN,Zn,refined_metal,0.0
1985,ROW,EU27,Zn,refined_metal,0.0
1985,ROW,ROW,Zn,refined_metal,0.0
1985,CHN,CHN,Zn,scrap,78.15024541941304
1985,CHN,EU27,Zn,scrap,432.6458548306253
1985,CHN,ROW,Zn,scrap,470.04451506682784
1985,EU27,CHN,Zn,scrap,335.76437128289115
1985,EU27,EU27,Zn,scrap,1858.817751060685
1985,EU27,ROW,Zn,scrap,2019.4971906918713
1985,ROW,CHN,Zn,scrap,453.1906055377898
1985,ROW,EU27,Zn,scrap,2508.8985438477002
1985,ROW,ROW,Zn,scrap,2725.7720979585943
1986,CHN,CHN,Ni,concentrate,
1986,CHN,EU27,Ni,concentrate,
1986,CHN,ROW,Ni,concentrate,
1986,EU27,CHN,Ni,concentrate,
1986,EU27,EU27,Ni,concentrate,
1986,EU27,ROW,Ni,concentrate,
1986,ROW,CHN,Ni,concentrate,
1986,ROW,EU27,Ni,concentrate,
1986,ROW,ROW,Ni,concentrate,
1986,CHN,CHN,Ni,refined_metal,0.0
1986,CHN,EU27,Ni,refined_metal,2.377197592517029
1986,CHN,ROW,Ni,refined_metal,0.0
1986,EU27,CHN,Ni,refined_metal,0.0
1986,EU27,EU27,Ni,refined_metal,0.0
1986,EU27,ROW,Ni,refined_metal,0.0
1986,ROW,CHN,Ni,refined_metal,0.0
1986,ROW,EU27,Ni,refined_metal,15.875963896868488
1986,ROW,ROW,Ni,refined_metal,0.0
1986,CHN,CHN,Ni,scrap,0.05416400293529915
1986,CHN,EU27,Ni,scrap,6.622691331381219
1986,CHN,ROW,Ni,scrap,17.34977416134436
1986,EU27,CHN,Ni,scrap,0.13471330201322151
1986,EU27,EU27,Ni,scrap,16.471541413407444
1986,EU27,ROW,Ni,scrap,43.15126725863105
1986,ROW,CHN,Ni,scrap,0.22531723061422662
1986,ROW,EU27,Ni,scrap,27.549781942485975
1986,ROW,ROW,Ni,scrap,72.17345199700365
1986,CHN,CHN,Sn,concentrate,
1986,CHN,EU27,Sn,concentrate,
1986,CHN,ROW,Sn,concentrate,
1986,EU27,CHN,Sn,concentrate,
1986,EU27,EU27,Sn,concentrate,
1986,EU27,ROW,Sn,concentrate,
1986,ROW,CHN,Sn,concentrate,
1986,ROW,EU27,Sn,concentrate,
1986,ROW,ROW,Sn,concentrate,
1986,CHN,CHN,Sn,refined_metal,0.0
1986,CHN,EU27,Sn,refined_metal,2.7012211773895394
1986,CHN,ROW,Sn,refined_metal,0.0
1986,EU27,CHN,Sn,refined_metal,0.0
1986,EU27,EU27,Sn,refined_metal,0.0005551438473442133
1986,EU27,ROW,Sn,refined_metal,0.0
1986,ROW,CHN,Sn,refined_metal,0.0
1986,ROW,EU27,Sn,refined_metal,24.90387966821693
1986,ROW,ROW,Sn,refined_metal,0.0
1986,CHN,CHN,Sn,scrap,0.01645794120136314
1986,CHN,EU27,Sn,scrap,1.1301119006239435
1986,CHN,ROW,Sn,scrap,8.646818961718392
1986,EU27,CHN,Sn,scrap,0.3009533662508486
1986,EU27,EU27,Sn,scrap,20.665463351196706
1986,EU27,ROW,Sn,scrap,158.11754593431655
1986,ROW,CHN,Sn,scrap,1.898070916651958
1986,ROW,EU27,Sn,scrap,130.3341958080948
1986,ROW,ROW,Sn,scrap,997.2253146361344
1986,CHN,CHN,Zn,concentrate,
1986,CHN,EU27,Zn,concentrate,
1986,CHN,ROW,Zn,concentrate,
1986,EU27,CHN,Zn,concentrate,
1986,EU27,EU27,Zn,concentrate,
1986,EU27,ROW,Zn,concentrate,
1986,ROW,CHN,Zn,concentrate,
1986,ROW,EU27,Zn,concentrate,
1986,ROW,ROW,Zn,concentrate,
1986,CHN,CHN,Zn,refined_metal,0.0
1986,CHN,EU27,Zn,refined_metal,0.0
1986,CHN,ROW,Zn,refined_metal,0.0
1986,EU27,CHN,Zn,refined_metal,0.0
1986,EU27,EU27,Zn,refined_metal,0.0
1986,EU27,ROW,Zn,refined_metal,0.0
1986,ROW,CHN,Zn,refined_metal,0.0
1986,ROW,EU27,Zn,refined_metal,0.0
1986,ROW,ROW,Zn,refined_metal,0.0
1986,CHN,CHN,Zn,scrap,54.19444500432231
1986,CHN,EU27,Zn,scrap,275.3171750846753
1986,CHN,ROW,Zn,scrap,624.8977673184526
1986,EU27,CHN,Zn,scrap,249.87863077680032
1986,EU27,EU27,Zn,scrap,1269.4267601413467
1986,EU27,ROW,Zn,scrap,2881.2657544617487
1986,ROW,CHN,Zn,scrap,332.42016521429355
1986,ROW,EU27,Zn,scrap,1688.7520634389925
1986,ROW,ROW,Zn,scrap,3833.0241971751093
1987,CHN,CHN,Ni,concentrate,
1987,CHN,EU27,Ni,concentrate,
1987,CHN,ROW,Ni,concentrate,
1987,EU27,CHN,Ni,concentrate,
1987,EU27,EU27,Ni,concentrate,
1987,EU27,ROW,Ni,concentrate,
1987,ROW,CHN,Ni,concentrate,
1987,ROW,EU27,Ni,concentrate,
1987,ROW,ROW,Ni,concentrate,
1987,CHN,CHN,Ni,refined_metal,0.0
1987,CHN,EU27,Ni,refined_metal,2.523544687132074
1987,CHN,ROW,Ni,refined_metal,0.0
1987,EU27,CHN,Ni,refined_metal,0.0
1987,EU27,EU27,Ni,refined_metal,0.0
1987,EU27,ROW,Ni,refined_metal,0.0
1987,ROW,CHN,Ni,refined_metal,0.0
1987,ROW,EU27,Ni,refined_metal,14.705518017681985
1987,ROW,ROW,Ni,refined_metal,0.0
1987,CHN,CHN,Ni,scrap,0.11779662748280928
1987,CHN,EU27,Ni,scrap,14.740899566730686
1987,CHN,ROW,Ni,scrap,12.291297424435175
1987,EU27,CHN,Ni,scrap,0.28642475428446984
1987,EU27,EU27,Ni,scrap,35.84277942888517
1987,EU27,ROW,Ni,scrap,29.88652493591086
1987,ROW,CHN,Ni,scrap,0.4715290468084618
1987,ROW,EU27,Ni,scrap,59.00646283624846
1987,ROW,ROW,Ni,scrap,49.20093115084317
1987,CHN,CHN,Sn,concentrate,
1987,CHN,EU27,Sn,concentrate,
1987,CHN,ROW,Sn,concentrate,
1987,EU27,CHN,Sn,concentrate,
1987,EU27,EU27,Sn,concentrate,
1987,EU27,ROW,Sn,concentrate,
1987,ROW,CHN,Sn,concentrate,
1987,ROW,EU27,Sn,concentrate,
1987,ROW,ROW,Sn,concentrate,
1987,CHN,CHN,Sn,refined_metal,0.0
1987,CHN,EU27,Sn,refined_metal,0.5041198672043725
1987,CHN,ROW,Sn,refined_metal,0.0
1987,EU27,CHN,Sn,refined_metal,0.0
1987,EU27,EU27,Sn,refined_metal,5.100384706970435e-05
1987,EU27,ROW,Sn,refined_metal,0.0
1987,ROW,CHN,Sn,refined_metal,0.0
1987,ROW,EU27,Sn,refined_metal,4.603658041218309
1987,ROW,ROW,Sn,refined_metal,0.0
1987,CHN,CHN,Sn,scrap,0.026775874825741116
1987,CHN,EU27,Sn,scrap,1.3982956091487488
1987,CHN,ROW,Sn,scrap,8.168128918155267
1987,EU27,CHN,Sn,scrap,0.45785602153533533
1987,EU27,EU27,Sn,scrap,23.910257599490183
1987,EU27,ROW,Sn,scrap,139.67151527982915
1987,ROW,CHN,Sn,scrap,3.2365399926207097
1987,ROW,EU27,Sn,scrap,169.01930151559856
1987,ROW,ROW,Sn,scrap,987.3244508551563
1987,CHN,CHN,Zn,concentrate,
1987,CHN,EU27,Zn,concentrate,
1987,CHN,ROW,Zn,concentrate,
1987,EU27,CHN,Zn,concentrate,
1987,EU27,EU27,Zn,concentrate,
1987,EU27,ROW,Zn,concentrate,
1987,ROW,CHN,Zn,concentrate,
1987,ROW,EU27,Zn,concentrate,
1987,ROW,ROW,Zn,concentrate,
1987,CHN,CHN,Zn,refined_metal,0.0
1987,CHN,EU27,Zn,refined_metal,0.0
1987,CHN,ROW,Zn,refined_metal,0.0
1987,EU27,CHN,Zn,refined_metal,0.0
1987,EU27,EU27,Zn,refined_metal,0.0
1987,EU27,ROW,Zn,refined_metal,0.0
1987,ROW,CHN,Zn,refined_metal,0.0
1987,ROW,EU27,Zn,refined_metal,0.0
1987,ROW,ROW,Zn,refined_metal,0.0
1987,CHN,CHN,Zn,scrap,40.785967909199265
1987,CHN,EU27,Zn,scrap,189.63486594522627
1987,CHN,ROW,Zn,scrap,684.5944597678009
1987,EU27,CHN,Zn,scrap,197.40428700818748
1987,EU27,EU27,Zn,scrap,917.8336918998856
1987,EU27,ROW,Zn,scrap,3313.440581355844
1987,ROW,CHN,Zn,scrap,276.35832702949875
1987,ROW,EU27,Zn,scrap,1284.9314846654797
1987,ROW,ROW,Zn,scrap,4638.687992308757
1988,CHN,CHN,Ni,concentrate,
1988,CHN,EU27,Ni,concentrate,
1988,CHN,ROW,Ni,concentrate,
1988,EU27,CHN,Ni,concentrate,
1988,EU27,EU27,Ni,concentrate,
1988,EU27,ROW,Ni,concentrate,
1988,ROW,CHN,Ni,concentrate,
1988,ROW,EU27,Ni,concentrate,
1988,ROW,ROW,Ni,concentrate,
1988,CHN,CHN,Ni,refined_metal,0.0
1988,CHN,EU27,Ni,refined_metal,5.208186781402009
1988,CHN,ROW,Ni,refined_metal,0.0
1988,EU27,CHN,Ni,refined_metal,0.0
1988,EU27,EU27,Ni,refined_metal,0.0
1988,EU27,ROW,Ni,refined_metal,0.0
1988,ROW,CHN,Ni,refined_metal,0.0
1988,ROW,EU27,Ni,refined_metal,28.208982296298647
1988,ROW,ROW,Ni,refined_metal,0.0
1988,CHN,CHN,Ni,scrap,0.07066559522683581
1988,CHN,EU27,Ni,scrap,14.162492009095095
1988,CHN,ROW,Ni,scrap,16.16156208852975
1988,EU27,CHN,Ni,scrap,0.1812541498155057
1988,EU27,EU27,Ni,scrap,36.32617032570586
1988,EU27,ROW,Ni,scrap,41.453697328152195
1988,ROW,CHN,Ni,scrap,0.2640732480630944
