t,o,m,value
2078,ROW,Sn,
2078,ROW,Zn,
2079,CHN,Ni,
2079,CHN,Sn,
2079,CHN,Zn,
2079,EU27,Ni,
2079,EU27,Sn,
2079,EU27,Zn,
2079,ROW,Ni,
2079,ROW,Sn,
2079,ROW,Zn,
2080,CHN,Ni,
2080,CHN,Sn,
2080,CHN,Zn,
2080,EU27,Ni,
2080,EU27,Sn,
2080,EU27,Zn,
2080,ROW,Ni,
2080,ROW,Sn,
2080,ROW,Zn,
2081,CHN,Ni,
2081,CHN,Sn,
2081,CHN,Zn,
2081,EU27,Ni,
2081,EU27,Sn,
2081,EU27,Zn,
2081,ROW,Ni,
2081,ROW,Sn,
2081,ROW,Zn,
2082,CHN,Ni,
2082,CHN,Sn,
2082,CHN,Zn,
2082,EU27,Ni,
2082,EU27,Sn,
2082,EU27,Zn,
2082,ROW,Ni,
2082,ROW,Sn,
2082,ROW,Zn,
2083,CHN,Ni,
2083,CHN,Sn,
2083,CHN,Zn,
2083,EU27,Ni,
2083,EU27,Sn,
2083,EU27,Zn,
2083,ROW,Ni,
2083,ROW,Sn,
2083,ROW,Zn,
2084,CHN,Ni,
2084,CHN,Sn,
2084,CHN,Zn,
2084,EU27,Ni,
2084,EU27,Sn,
2084,EU27,Zn,
2084,ROW,Ni,
2084,ROW,Sn,
2084,ROW,Zn,
2085,CHN,Ni,
2085,CHN,Sn,
2085,CHN,Zn,
2085,EU27,Ni,
2085,EU27,Sn,
2085,EU27,Zn,
2085,ROW,Ni,
2085,ROW,Sn,
2085,ROW,Zn,
2086,CHN,Ni,
2086,CHN,Sn,
2086,CHN,Zn,
2086,EU27,Ni,
2086,EU27,Sn,
2086,EU27,Zn,
2086,ROW,Ni,
2086,ROW,Sn,
2086,ROW,Zn,
2087,CHN,Ni,
2087,CHN,Sn,
2087,CHN,Zn,
2087,EU27,Ni,
2087,EU27,Sn,
2087,EU27,Zn,
2087,ROW,Ni,
2087,ROW,Sn,
2087,ROW,Zn,
2088,CHN,Ni,
2088,CHN,Sn,
2088,CHN,Zn,
2088,EU27,Ni,
2088,EU27,Sn,
2088,EU27,Zn,
2088,ROW,Ni,
2088,ROW,Sn,
2088,ROW,Zn,
2089,CHN,Ni,
2089,CHN,Sn,
2089,CHN,Zn,
2089,EU27,Ni,
2089,EU27,Sn,
2089,EU27,Zn,
2089,ROW,Ni,
2089,ROW,Sn,
2089,ROW,Zn,
2090,CHN,Ni,
2090,CHN,Sn,
2090,CHN,Zn,
2090,EU27,Ni,
2090,EU27,Sn,
2090,EU27,Zn,
2090,ROW,Ni,
2090,ROW,Sn,
2090,ROW,Zn,
2091,CHN,Ni,
2091,CHN,Sn,
2091,CHN,Zn,
2091,EU27,Ni,
2091,EU27,Sn,
2091,EU27,Zn,
2091,ROW,Ni,
2091,ROW,Sn,
2091,ROW,Zn,
2092,CHN,Ni,
2092,CHN,Sn,
2092,CHN,Zn,
2092,EU27,Ni,
2092,EU27,Sn,
2092,EU27,Zn,
2092,ROW,Ni,
2092,ROW,Sn,
2092,ROW,Zn,
2093,CHN,Ni,
2093,CHN,Sn,
2093,CHN,Zn,
2093,EU27,Ni,
2093,EU27,Sn,
2093,EU27,Zn,
2093,ROW,Ni,
2093,ROW,Sn,
2093,ROW,Zn,
2094,CHN,Ni,
2094,CHN,Sn,
2094,CHN,Zn,
2094,EU27,Ni,
2094,EU27,Sn,
2094,EU27,Zn,
2094,ROW,Ni,
2094,ROW,Sn,
2094,ROW,Zn,
2095,CHN,Ni,
2095,CHN,Sn,
2095,CHN,Zn,
2095,EU27,Ni,
2095,EU27,Sn,
2095,EU27,Zn,
2095,ROW,Ni,
2095,ROW,Sn,
2095,ROW,Zn,
2096,CHN,Ni,
2096,CHN,Sn,
2096,CHN,Zn,
2096,EU27,Ni,
2096,EU27,Sn,
2096,EU27,Zn,
2096,ROW,Ni,
2096,ROW,Sn,
2096,ROW,Zn,
2097,CHN,Ni,
2097,CHN,Sn,
2097,CHN,Zn,
2097,EU27,Ni,
2097,EU27,Sn,
2097,EU27,Zn,
2097,ROW,Ni,
2097,ROW,Sn,
2097,ROW,Zn,
2098,CHN,Ni,
2098,CHN,Sn,
2098,CHN,Zn,
2098,EU27,Ni,
2098,EU27,Sn,
2098,EU27,Zn,
2098,ROW,Ni,
2098,ROW,Sn,
2098,ROW,Zn,
2099,CHN,Ni,
2099,CHN,Sn,
2099,CHN,Zn,
2099,EU27,Ni,
2099,EU27,Sn,
2099,EU27,Zn,
2099,ROW,Ni,
2099,ROW,Sn,
2099,ROW,Zn,
2100,CHN,Ni,
2100,CHN,Sn,
2100,CHN,Zn,
2100,EU27,Ni,
2100,EU27,Sn,
2100,EU27,Zn,
2100,ROW,Ni,
2100,ROW,Sn,
2100,ROW,Zn,
