t,r,m,c,value
1827,ROW,Ni,scrap,0.7208827739324994
1827,ROW,Sn,concentrate,0.0
1827,ROW,Sn,refined_metal,53.793672779225815
1827,ROW,Sn,scrap,5.719019102835611
1828,EU27,Zn,concentrate,0.0
1828,EU27,Zn,refined_metal,0.0
1828,EU27,Zn,scrap,29.474600970585662
1828,EU27,Ni,concentrate,0.0
1828,EU27,Ni,refined_metal,0.0
1828,EU27,Ni,scrap,2.11360533178999
1828,EU27,Sn,concentrate,0.0
1828,EU27,Sn,refined_metal,0.0
1828,EU27,Sn,scrap,6.604266910277231
1828,CHN,Zn,concentrate,0.0
1828,CHN,Zn,refined_metal,5.67956028448371
1828,CHN,Zn,scrap,4.495028421091044
1828,CHN,Ni,concentrate,0.0
1828,CHN,Ni,refined_metal,0.0
1828,CHN,Ni,scrap,0.01292090473158573
1828,CHN,Sn,concentrate,0.0
1828,CHN,Sn,refined_metal,5.926093994625519
1828,CHN,Sn,scrap,0.7560818595953301
1828,ROW,Zn,concentrate,0.0
1828,ROW,Zn,refined_metal,179.94290313228592
1828,ROW,Zn,scrap,25.278756477702157
1828,ROW,Ni,concentrate,0.0
1828,ROW,Ni,refined_metal,0.03873788256707167
1828,ROW,Ni,scrap,0.927276209262816
1828,ROW,Sn,concentrate,0.0
1828,ROW,Sn,refined_metal,60.044466558342364
1828,ROW,Sn,scrap,6.8441416232248695
1829,EU27,Zn,concentrate,0.0
1829,EU27,Zn,refined_metal,0.0
1829,EU27,Zn,scrap,35.85152057810272
1829,EU27,Ni,concentrate,0.0
1829,EU27,Ni,refined_metal,0.0
1829,EU27,Ni,scrap,2.2992998879625777
1829,EU27,Sn,concentrate,0.0
1829,EU27,Sn,refined_metal,0.0
1829,EU27,Sn,scrap,8.077814704844947
1829,CHN,Zn,concentrate,0.0
1829,CHN,Zn,refined_metal,6.388411677622073
1829,CHN,Zn,scrap,5.824817644775526
1829,CHN,Ni,concentrate,0.0
1829,CHN,Ni,refined_metal,0.0
1829,CHN,Ni,scrap,0.015099441551692969
1829,CHN,Sn,concentrate,0.0
1829,CHN,Sn,refined_metal,6.521638851454481
1829,CHN,Sn,scrap,0.8625238770442347
1829,ROW,Zn,concentrate,0.0
1829,ROW,Zn,refined_metal,201.5269055404096
1829,ROW,Zn,scrap,29.43160285967609
1829,ROW,Ni,concentrate,0.0
1829,ROW,Ni,refined_metal,0.04234096822910506
1829,ROW,Ni,scrap,1.1527296475382205
1829,ROW,Sn,concentrate,0.0
1829,ROW,Sn,refined_metal,65.95935911963151
1829,ROW,Sn,scrap,8.012198752623028
1830,EU27,Zn,concentrate,0.0
1830,EU27,Zn,refined_metal,0.0
1830,EU27,Zn,scrap,42.76868581343981
1830,EU27,Ni,concentrate,0.0
1830,EU27,Ni,refined_metal,0.0
1830,EU27,Ni,scrap,2.4756277167148593
1830,EU27,Sn,concentrate,0.0
1830,EU27,Sn,refined_metal,0.0
1830,EU27,Sn,scrap,9.725067478720078
1830,CHN,Zn,concentrate,0.0
1830,CHN,Zn,refined_metal,7.105804651376747
1830,CHN,Zn,scrap,7.341511259990154
1830,CHN,Ni,concentrate,0.0
1830,CHN,Ni,refined_metal,0.0
1830,CHN,Ni,scrap,0.017340538543702457
1830,CHN,Sn,concentrate,0.0
1830,CHN,Sn,refined_metal,7.115434818402803
1830,CHN,Sn,scrap,0.9663825727072564
1830,ROW,Zn,concentrate,0.0
1830,ROW,Zn,refined_metal,223.24268141936625
1830,ROW,Zn,scrap,33.68966876247197
1830,ROW,Ni,concentrate,0.0
1830,ROW,Ni,refined_metal,0.04569927445785589
1830,ROW,Ni,scrap,1.3942654777560497
1830,ROW,Sn,concentrate,0.0
1830,ROW,Sn,refined_metal,71.83701923582632
1830,ROW,Sn,scrap,9.218341545630235
1831,EU27,Zn,concentrate,0.0
1831,EU27,Zn,refined_metal,0.0
1831,EU27,Zn,scrap,50.19362806420919
1831,EU27,Ni,concentrate,0.0
1831,EU27,Ni,refined_metal,0.0
1831,EU27,Ni,scrap,2.6447989057162427
1831,EU27,Sn,concentrate,0.0
1831,EU27,Sn,refined_metal,0.0
1831,EU27,Sn,scrap,11.53454902640033
1831,CHN,Zn,concentrate,0.0
1831,CHN,Zn,refined_metal,7.8456066721813995
1831,CHN,Zn,scrap,9.039787978337554
1831,CHN,Ni,concentrate,0.0
1831,CHN,Ni,refined_metal,0.0
1831,CHN,Ni,scrap,0.01962972270454938
1831,CHN,Sn,concentrate,0.0
1831,CHN,Sn,refined_metal,7.699712506918264
1831,CHN,Sn,scrap,1.0672174970045978
1831,ROW,Zn,concentrate,0.0
1831,ROW,Zn,refined_metal,245.53608724534539
1831,ROW,Zn,scrap,38.03925850523707
