t,i,m,c,value
1830,ROW,Ni,concentrate,1.0
1830,ROW,Ni,refined_metal,1.0
1830,ROW,Ni,scrap,1.0
1830,ROW,Sn,concentrate,1.0
1830,ROW,Sn,refined_metal,1.0
1830,ROW,Sn,scrap,1.0
1830,ROW,Zn,concentrate,1.0
1830,ROW,Zn,refined_metal,1.0
1830,ROW,Zn,scrap,1.0
1831,CHN,Ni,concentrate,1.0
1831,CHN,Ni,refined_metal,1.0
1831,CHN,Ni,scrap,1.0
1831,CHN,Sn,concentrate,1.0
1831,CHN,Sn,refined_metal,1.0
1831,CHN,Sn,scrap,1.0
1831,CHN,Zn,concentrate,1.0
1831,CHN,Zn,refined_metal,1.0
1831,CHN,Zn,scrap,1.0
1831,EU27,Ni,concentrate,1.0
1831,EU27,Ni,refined_metal,1.0
1831,EU27,Ni,scrap,1.0
1831,EU27,Sn,concentrate,1.0
1831,EU27,Sn,refined_metal,1.0
1831,EU27,Sn,scrap,1.0
1831,EU27,Zn,concentrate,1.0
1831,EU27,Zn,refined_metal,1.0
1831,EU27,Zn,scrap,1.0
1831,ROW,Ni,concentrate,1.0
1831,ROW,Ni,refined_metal,1.0
1831,ROW,Ni,scrap,1.0
1831,ROW,Sn,concentrate,1.0
1831,ROW,Sn,refined_metal,1.0
1831,ROW,Sn,scrap,1.0
1831,ROW,Zn,concentrate,1.0
1831,ROW,Zn,refined_metal,1.0
1831,ROW,Zn,scrap,1.0
1832,CHN,Ni,concentrate,1.0
1832,CHN,Ni,refined_metal,1.0
1832,CHN,Ni,scrap,1.0
1832,CHN,Sn,concentrate,1.0
1832,CHN,Sn,refined_metal,1.0
1832,CHN,Sn,scrap,1.0
1832,CHN,Zn,concentrate,1.0
1832,CHN,Zn,refined_metal,1.0
1832,CHN,Zn,scrap,1.0
1832,EU27,Ni,concentrate,1.0
1832,EU27,Ni,refined_metal,1.0
1832,EU27,Ni,scrap,1.0
1832,EU27,Sn,concentrate,1.0
1832,EU27,Sn,refined_metal,1.0
1832,EU27,Sn,scrap,1.0
1832,EU27,Zn,concentrate,1.0
1832,EU27,Zn,refined_metal,1.0
1832,EU27,Zn,scrap,1.0
1832,ROW,Ni,concentrate,1.0
1832,ROW,Ni,refined_metal,1.0
1832,ROW,Ni,scrap,1.0
1832,ROW,Sn,concentrate,1.0
1832,ROW,Sn,refined_metal,1.0
1832,ROW,Sn,scrap,1.0
1832,ROW,Zn,concentrate,1.0
1832,ROW,Zn,refined_metal,1.0
1832,ROW,Zn,scrap,1.0
1833,CHN,Ni,concentrate,1.0
1833,CHN,Ni,refined_metal,1.0
1833,CHN,Ni,scrap,1.0
1833,CHN,Sn,concentrate,1.0
1833,CHN,Sn,refined_metal,1.0
1833,CHN,Sn,scrap,1.0
1833,CHN,Zn,concentrate,1.0
1833,CHN,Zn,refined_metal,1.0
1833,CHN,Zn,scrap,1.0
1833,EU27,Ni,concentrate,1.0
1833,EU27,Ni,refined_metal,1.0
1833,EU27,Ni,scrap,1.0
1833,EU27,Sn,concentrate,1.0
1833,EU27,Sn,refined_metal,1.0
1833,EU27,Sn,scrap,1.0
1833,EU27,Zn,concentrate,1.0
1833,EU27,Zn,refined_metal,1.0
1833,EU27,Zn,scrap,1.0
1833,ROW,Ni,concentrate,1.0
1833,ROW,Ni,refined_metal,1.0
1833,ROW,Ni,scrap,1.0
1833,ROW,Sn,concentrate,1.0
1833,ROW,Sn,refined_metal,1.0
1833,ROW,Sn,scrap,1.0
1833,ROW,Zn,concentrate,1.0
1833,ROW,Zn,refined_metal,1.0
1833,ROW,Zn,scrap,1.0
1834,CHN,Ni,concentrate,1.0
1834,CHN,Ni,refined_metal,1.0
1834,CHN,Ni,scrap,1.0
1834,CHN,Sn,concentrate,1.0
1834,CHN,Sn,refined_metal,1.0
1834,CHN,Sn,scrap,1.0
1834,CHN,Zn,concentrate,1.0
1834,CHN,Zn,refined_metal,1.0
1834,CHN,Zn,scrap,1.0
1834,EU27,Ni,concentrate,1.0
1834,EU27,Ni,refined_metal,1.0
1834,EU27,Ni,scrap,1.0
1834,EU27,Sn,concentrate,1.0
1834,EU27,Sn,refined_metal,1.0
1834,EU27,Sn,scrap,1.0
1834,EU27,Zn,concentrate,1.0
1834,EU27,Zn,refined_metal,1.0
1834,EU27,Zn,scrap,1.0
1834,ROW,Ni,concentrate,1.0
1834,ROW,Ni,refined_metal,1.0
1834,ROW,Ni,scrap,1.0
1834,ROW,Sn,concentrate,1.0
1834,ROW,Sn,refined_metal,1.0
1834,ROW,Sn,scrap,1.0
1834,ROW,Zn,concentrate,1.0
1834,ROW,Zn,refined_metal,1.0
1834,ROW,Zn,scrap,1.0
1835,CHN,Ni,concentrate,1.0
1835,CHN,Ni,refined_metal,1.0
1835,CHN,Ni,scrap,1.0
1835,CHN,Sn,concentrate,1.0
1835,CHN,Sn,refined_metal,1.0
1835,CHN,Sn,scrap,1.0
1835,CHN,Zn,concentrate,1.0
1835,CHN,Zn,refined_metal,1.0
1835,CHN,Zn,scrap,1.0
1835,EU27,Ni,concentrate,1.0
1835,EU27,Ni,refined_metal,1.0
