baseline_run,scenario,scenario_run,indicator,baseline_mean_2020_2100,scenario_mean_2020_2100,delta_mean_reporting,delta_mean_reporting_pct,baseline_mean_2100,scenario_mean_2100,delta_mean_2100,status,notes
20260216_193413,r_high_quality_recycling,20260216_193446,utilization_rate_ur_frac,0.7391385309099915,0.7356285836276069,-0.003509947282384629,-0.004748700190292275,0.7549034947610941,0.7497805305951515,-0.005122964165942601,ok,
20260216_193413,r_high_quality_recycling,20260216_193446,buffer_coverage_years,214.1687702544233,214.36475290087276,0.1959826464494654,0.0009150850808763875,324.5975745741775,325.0389366309883,0.4413620568108172,ok,
20260216_193413,r_lifetime_extension,20260216_193518,import_reliance_frac,0.042826458370487874,0.042950741913943186,0.00012428354345531134,0.002902027115577606,0.018323040332835612,0.01844134675533442,0.00011830642249880882,ok,
20260216_193413,r_lifetime_extension,20260216_193518,apparent_consumption_kt_per_yr,3660.994829112864,3650.5232201636036,-10.471608949260371,-0.0028603178747995837,5205.663030679514,5191.517785324549,-14.145245354965482,ok,
20260216_193413,r_lifetime_extension,20260216_193518,eol_rr_frac,0.3749999999999807,0.3749999999999807,0.0,0.0,0.37499999999997824,0.3749999999999783,5.551115123125783e-17,ok,
20260216_193413,r_lifetime_extension,20260216_193518,eol_rir_frac,0.1656485139808145,0.16463072625404696,-0.001017787726767555,-0.0061442611364774195,0.17323314425742314,0.17292696211694883,-0.0003061821404743148,ok,
20260216_193413,r_lifetime_extension,20260216_193518,stockpile_cover_years,214.1687702544233,214.08739039425274,-0.0813798601705571,-0.00037998005065762537,324.5975745741775,324.45800176376906,-0.13957281040842417,ok,
20260216_193413,r_lifetime_extension,20260216_193518,utilization_rate_ur_frac,0.7391385309099915,0.7403135023856987,0.0011749714757072205,0.0015896498782990687,0.7549034947610941,0.7551870714625252,0.0002835767014310875,ok,
20260216_193413,r_lifetime_extension,20260216_193518,buffer_coverage_years,214.1687702544233,214.08739039425274,-0.0813798601705571,-0.00037998005065762537,324.5975745741775,324.4580017637691,-0.13957281040836733,ok,
20260216_193413,r_reuse_reman,20260216_193502,import_reliance_frac,0.042826458370487874,0.042826458370487874,0.0,0.0,0.018323040332835612,0.018323040332835612,0.0,ok,
