t,r,m,c,value
1871,CHN,Sn,refined_metal,10.224145480213728
1871,CHN,Zn,refined_metal,11.658820021960356
1871,EU27,Ni,refined_metal,4.712296094994211
1871,EU27,Sn,refined_metal,10.961002020320135
1871,EU27,Zn,refined_metal,215.77846455711006
1871,ROW,Ni,refined_metal,0.0309666666666666
1871,ROW,Sn,refined_metal,83.39134582306075
1871,ROW,Zn,refined_metal,332.62315664250787
1872,CHN,Ni,refined_metal,0.0483332495918603
1872,CHN,Sn,refined_metal,10.226107422460831
1872,CHN,Zn,refined_metal,11.66162257024981
1872,EU27,Ni,refined_metal,4.72671648629995
1872,EU27,Sn,refined_metal,10.996163916363132
1872,EU27,Zn,refined_metal,216.16144909765012
1872,ROW,Ni,refined_metal,0.0309666666666666
1872,ROW,Sn,refined_metal,83.39677477420904
1872,ROW,Zn,refined_metal,332.6705290949168
1873,CHN,Ni,refined_metal,0.04837273753002479
1873,CHN,Sn,refined_metal,10.22798819813395
1873,CHN,Zn,refined_metal,11.664276927923643
1873,EU27,Ni,refined_metal,4.74076616407409
1873,EU27,Sn,refined_metal,11.017449895859414
1873,EU27,Zn,refined_metal,216.58061345631518
1873,ROW,Ni,refined_metal,0.0309666666666666
1873,ROW,Sn,refined_metal,83.40197838383831
1873,ROW,Zn,refined_metal,332.71570366674626
1874,CHN,Ni,refined_metal,0.048410340616120526
1874,CHN,Sn,refined_metal,10.229791969530266
1874,CHN,Zn,refined_metal,11.66679233078871
1874,EU27,Ni,refined_metal,4.754455425911763
1874,EU27,Sn,refined_metal,11.050401454018814
1874,EU27,Zn,refined_metal,216.93632423424737
1874,ROW,Ni,refined_metal,0.0309666666666666
1874,ROW,Sn,refined_metal,83.40696816949823
1874,ROW,Zn,refined_metal,332.75880665079535
1875,CHN,Ni,refined_metal,0.04844615889930343
1875,CHN,Sn,refined_metal,10.231522640979616
1875,CHN,Zn,refined_metal,11.6691773491258
1875,EU27,Ni,refined_metal,4.767794224685253
1875,EU27,Sn,refined_metal,11.069729352310159
1875,EU27,Zn,refined_metal,217.3282007363953
1875,ROW,Ni,refined_metal,0.0309666666666666
1875,ROW,Sn,refined_metal,83.41175490540232
1875,ROW,Zn,refined_metal,332.79995539743743
1876,CHN,Ni,refined_metal,0.048480286564930926
1876,CHN,Sn,refined_metal,10.23318387740976
1876,CHN,Zn,refined_metal,11.671439940747117
1876,EU27,Ni,refined_metal,4.780792184934304
1876,EU27,Sn,refined_metal,11.100642722642073
1876,EU27,Zn,refined_metal,217.6587285956873
1876,ROW,Ni,refined_metal,0.0309666666666666
1876,ROW,Sn,refined_metal,83.41634868358604
1876,ROW,Zn,refined_metal,332.8392590617439
1877,CHN,Ni,refined_metal,0.04851281230669806
1877,CHN,Sn,refined_metal,10.23477912143462
1877,CHN,Zn,refined_metal,11.673587499562249
1877,EU27,Ni,refined_metal,4.793458618106481
1877,EU27,Sn,refined_metal,11.118174531796122
1877,EU27,Zn,refined_metal,218.02533748579424
1877,ROW,Ni,refined_metal,0.0309666666666666
1877,ROW,Sn,refined_metal,83.42075896892482
1877,ROW,Zn,refined_metal,332.8768192811321
1878,CHN,Ni,refined_metal,0.04854381967374867
1878,CHN,Sn,refined_metal,10.236311609090164
1878,CHN,Zn,refined_metal,11.675626900045756
1878,EU27,Ni,refined_metal,4.805802536750867
1878,EU27,Sn,refined_metal,11.147206246446565
1878,EU27,Zn,refined_metal,218.33259041741036
1878,ROW,Ni,refined_metal,0.0309666666666666
1878,ROW,Sn,refined_metal,83.42499464871572
1878,ROW,Zn,refined_metal,332.9127307904125
1879,CHN,Ni,refined_metal,0.04857338739451452
1879,CHN,Sn,refined_metal,10.237784384331704
1879,CHN,Zn,refined_metal,11.67756453796435
1879,EU27,Ni,refined_metal,4.817832667757923
1879,EU27,Sn,refined_metal,11.163089276407046
1879,EU27,Zn,refined_metal,218.67577868599136
1879,ROW,Ni,refined_metal,0.0309666666666666
1879,ROW,Sn,refined_metal,83.42906407743882
1879,ROW,Zn,refined_metal,332.94708198040604
1880,CHN,Ni,refined_metal,0.04860158967890883
1880,CHN,Sn,refined_metal,10.239200312396541
1880,CHN,Zn,refined_metal,11.679406367689827
1880,EU27,Ni,refined_metal,4.829557464729098
1880,EU27,Sn,refined_metal,11.190381996204668
1880,EU27,Zn,refined_metal,218.96150133235602
1880,ROW,Ni,refined_metal,0.0309666666666666
1880,ROW,Sn,refined_metal,83.43297511723887
1880,ROW,Zn,refined_metal,332.97995540566933
1881,CHN,Ni,refined_metal,0.04862849650038356
1881,CHN,Sn,refined_metal,10.240562092126769
1881,CHN,Zn,refined_metal,11.681157936394875
1881,EU27,Ni,refined_metal,4.840985119551429
