t,r,m,value
1861,ROW,Zn,0.4
1861,ROW,Ni,0.4
1861,ROW,Sn,0.4
1862,EU27,Zn,0.75
1862,EU27,Ni,0.75
1862,EU27,Sn,0.75
1862,CHN,Zn,0.55
1862,CHN,Ni,0.55
1862,CHN,Sn,0.55
1862,ROW,Zn,0.4
1862,ROW,Ni,0.4
1862,ROW,Sn,0.4
1863,EU27,Zn,0.75
1863,EU27,Ni,0.75
1863,EU27,Sn,0.75
1863,CHN,Zn,0.55
1863,CHN,Ni,0.55
1863,CHN,Sn,0.55
1863,ROW,Zn,0.4
1863,ROW,Ni,0.4
1863,ROW,Sn,0.4
1864,EU27,Zn,0.75
1864,EU27,Ni,0.75
1864,EU27,Sn,0.75
1864,CHN,Zn,0.55
1864,CHN,Ni,0.55
1864,CHN,Sn,0.55
1864,ROW,Zn,0.4
1864,ROW,Ni,0.4
1864,ROW,Sn,0.4
1865,EU27,Zn,0.75
1865,EU27,Ni,0.75
1865,EU27,Sn,0.75
1865,CHN,Zn,0.55
1865,CHN,Ni,0.55
1865,CHN,Sn,0.55
1865,ROW,Zn,0.4
1865,ROW,Ni,0.4
1865,ROW,Sn,0.4
1866,EU27,Zn,0.75
1866,EU27,Ni,0.75
1866,EU27,Sn,0.75
1866,CHN,Zn,0.55
1866,CHN,Ni,0.55
1866,CHN,Sn,0.55
1866,ROW,Zn,0.4
1866,ROW,Ni,0.4
1866,ROW,Sn,0.4
1867,EU27,Zn,0.75
1867,EU27,Ni,0.75
1867,EU27,Sn,0.75
1867,CHN,Zn,0.55
1867,CHN,Ni,0.55
1867,CHN,Sn,0.55
1867,ROW,Zn,0.4
1867,ROW,Ni,0.4
1867,ROW,Sn,0.4
1868,EU27,Zn,0.75
1868,EU27,Ni,0.75
1868,EU27,Sn,0.75
1868,CHN,Zn,0.55
1868,CHN,Ni,0.55
1868,CHN,Sn,0.55
1868,ROW,Zn,0.4
1868,ROW,Ni,0.4
1868,ROW,Sn,0.4
1869,EU27,Zn,0.75
1869,EU27,Ni,0.75
1869,EU27,Sn,0.75
1869,CHN,Zn,0.55
1869,CHN,Ni,0.55
1869,CHN,Sn,0.55
1869,ROW,Zn,0.4
1869,ROW,Ni,0.4
1869,ROW,Sn,0.4
1870,EU27,Zn,0.75
1870,EU27,Ni,0.75
1870,EU27,Sn,0.75
1870,CHN,Zn,0.55
1870,CHN,Ni,0.55
1870,CHN,Sn,0.55
1870,ROW,Zn,0.4
1870,ROW,Ni,0.4
1870,ROW,Sn,0.4
1871,EU27,Zn,0.75
1871,EU27,Ni,0.75
1871,EU27,Sn,0.75
1871,CHN,Zn,0.55
1871,CHN,Ni,0.55
1871,CHN,Sn,0.55
1871,ROW,Zn,0.4
1871,ROW,Ni,0.4
1871,ROW,Sn,0.4
1872,EU27,Zn,0.75
1872,EU27,Ni,0.75
1872,EU27,Sn,0.75
1872,CHN,Zn,0.55
1872,CHN,Ni,0.55
1872,CHN,Sn,0.55
1872,ROW,Zn,0.4
1872,ROW,Ni,0.4
1872,ROW,Sn,0.4
1873,EU27,Zn,0.75
1873,EU27,Ni,0.75
1873,EU27,Sn,0.75
1873,CHN,Zn,0.55
1873,CHN,Ni,0.55
1873,CHN,Sn,0.55
1873,ROW,Zn,0.4
1873,ROW,Ni,0.4
1873,ROW,Sn,0.4
1874,EU27,Zn,0.75
1874,EU27,Ni,0.75
1874,EU27,Sn,0.75
1874,CHN,Zn,0.55
1874,CHN,Ni,0.55
1874,CHN,Sn,0.55
1874,ROW,Zn,0.4
1874,ROW,Ni,0.4
1874,ROW,Sn,0.4
1875,EU27,Zn,0.75
1875,EU27,Ni,0.75
1875,EU27,Sn,0.75
1875,CHN,Zn,0.55
1875,CHN,Ni,0.55
1875,CHN,Sn,0.55
1875,ROW,Zn,0.4
1875,ROW,Ni,0.4
1875,ROW,Sn,0.4
1876,EU27,Zn,0.75
1876,EU27,Ni,0.75
1876,EU27,Sn,0.75
1876,CHN,Zn,0.55
1876,CHN,Ni,0.55
1876,CHN,Sn,0.55
1876,ROW,Zn,0.4
1876,ROW,Ni,0.4
1876,ROW,Sn,0.4
1877,EU27,Zn,0.75
1877,EU27,Ni,0.75
1877,EU27,Sn,0.75
1877,CHN,Zn,0.55
1877,CHN,Ni,0.55
1877,CHN,Sn,0.55
1877,ROW,Zn,0.4
1877,ROW,Ni,0.4
1877,ROW,Sn,0.4
1878,EU27,Zn,0.75
1878,EU27,Ni,0.75
1878,EU27,Sn,0.75
1878,CHN,Zn,0.55
1878,CHN,Ni,0.55
1878,CHN,Sn,0.55
1878,ROW,Zn,0.4
1878,ROW,Ni,0.4
1878,ROW,Sn,0.4
1879,EU27,Zn,0.75
1879,EU27,Ni,0.75
1879,EU27,Sn,0.75
1879,CHN,Zn,0.55
1879,CHN,Ni,0.55
1879,CHN,Sn,0.55
1879,ROW,Zn,0.4
1879,ROW,Ni,0.4
1879,ROW,Sn,0.4
1880,EU27,Zn,0.75
1880,EU27,Ni,0.75
1880,EU27,Sn,0.75
1880,CHN,Zn,0.55
1880,CHN,Ni,0.55
1880,CHN,Sn,0.55
1880,ROW,Zn,0.4
1880,ROW,Ni,0.4
1880,ROW,Sn,0.4
1881,EU27,Zn,0.75
1881,EU27,Ni,0.75
1881,EU27,Sn,0.75
1881,CHN,Zn,0.55
1881,CHN,Ni,0.55
1881,CHN,Sn,0.55
1881,ROW,Zn,0.4
1881,ROW,Ni,0.4
1881,ROW,Sn,0.4
1882,EU27,Zn,0.75
1882,EU27,Ni,0.75
1882,EU27,Sn,0.75
1882,CHN,Zn,0.55
1882,CHN,Ni,0.55
1882,CHN,Sn,0.55
1882,ROW,Zn,0.4
1882,ROW,Ni,0.4
1882,ROW,Sn,0.4
1883,EU27,Zn,0.75
1883,EU27,Ni,0.75
