t,o,d,m,c,value
1822,CHN,EU27,Zn,concentrate,
1822,CHN,ROW,Zn,concentrate,
1822,EU27,CHN,Zn,concentrate,
1822,EU27,EU27,Zn,concentrate,
1822,EU27,ROW,Zn,concentrate,
1822,ROW,CHN,Zn,concentrate,
1822,ROW,EU27,Zn,concentrate,
1822,ROW,ROW,Zn,concentrate,
1822,CHN,CHN,Zn,refined_metal,0.0
1822,CHN,EU27,Zn,refined_metal,0.4835510823303456
1822,CHN,ROW,Zn,refined_metal,0.0
1822,EU27,CHN,Zn,refined_metal,0.0
1822,EU27,EU27,Zn,refined_metal,0.0
1822,EU27,ROW,Zn,refined_metal,0.0
1822,ROW,CHN,Zn,refined_metal,0.0
1822,ROW,EU27,Zn,refined_metal,15.794537771122812
1822,ROW,ROW,Zn,refined_metal,0.0
1822,CHN,CHN,Zn,scrap,0.05922298031507804
1822,CHN,EU27,Zn,scrap,0.18202564771783816
1822,CHN,ROW,Zn,scrap,0.08055736921283535
1822,EU27,CHN,Zn,scrap,0.7894422158107315
1822,EU27,EU27,Zn,scrap,2.4264015404872894
1822,EU27,ROW,Zn,scrap,1.0738295795470578
1822,ROW,CHN,Zn,scrap,0.862656870057772
1822,ROW,EU27,Zn,scrap,2.6514314999870163
1822,ROW,ROW,Zn,scrap,1.1734189602670166
1823,CHN,CHN,Ni,concentrate,
1823,CHN,EU27,Ni,concentrate,
1823,CHN,ROW,Ni,concentrate,
1823,EU27,CHN,Ni,concentrate,
1823,EU27,EU27,Ni,concentrate,
1823,EU27,ROW,Ni,concentrate,
1823,ROW,CHN,Ni,concentrate,
1823,ROW,EU27,Ni,concentrate,
1823,ROW,ROW,Ni,concentrate,
1823,CHN,CHN,Ni,refined_metal,0.0
1823,CHN,EU27,Ni,refined_metal,0.0
1823,CHN,ROW,Ni,refined_metal,0.0
1823,EU27,CHN,Ni,refined_metal,0.0
1823,EU27,EU27,Ni,refined_metal,0.0
1823,EU27,ROW,Ni,refined_metal,0.0
1823,ROW,CHN,Ni,refined_metal,1.4561647700689273e-05
1823,ROW,EU27,Ni,refined_metal,0.005912098611217672
1823,ROW,ROW,Ni,refined_metal,0.0
1823,CHN,CHN,Ni,scrap,1.81189912599016e-05
1823,CHN,EU27,Ni,scrap,0.0010891041790380433
1823,CHN,ROW,Ni,scrap,0.002633256997168636
1823,EU27,CHN,Ni,scrap,0.0047628385139044625
1823,EU27,EU27,Ni,scrap,0.28628676150732163
1823,EU27,ROW,Ni,scrap,0.6921896292802397
1823,ROW,CHN,Ni,scrap,0.0007033089695136842
1823,ROW,EU27,Ni,scrap,0.0422748003387719
1823,ROW,ROW,Ni,scrap,0.10221282402414655
1823,CHN,CHN,Sn,concentrate,
