candidate_id,utilization_target,eol_outflow_multiplier,refined_export_cap_fraction,new_scrap_fraction_of_demand,mae_i_use,rmse_i_use,mape_i_use,mae_stock,rmse_stock,mape_stock,objective_weighted_mape
18,0.85,1.15,0.15,0.05,3.0883406125697337,13.831630218188447,0.187492761110528,139.13091185206682,392.72138917056975,0.3600651380368007,0.27377894957366433
17,0.85,1.15,0.1,0.05,3.2684057964405913,14.735751960794143,0.18999909177745508,140.9827304211651,400.5986131804586,0.3621916900333322,0.27609539090539365
16,0.85,1.15,0.05,0.05,3.6611533101521343,16.80893058632373,0.19649181471423594,144.88849359478894,416.4565770415602,0.36729181407214057,0.2818918143931882
3,0.75,0.85,0.15,0.05,10.122996146539478,42.372715167705934,0.23555430345499934,112.62215136191655,304.3040476734207,0.3283427988798909,0.2819485511674451
6,0.75,1.0,0.15,0.05,9.601441662341234,40.94893946252987,0.23092655652714092,147.16951287070566,451.4361009005511,0.33541197763377584,0.28316926708045836
2,0.75,0.85,0.1,0.05,10.2337673834255,43.015829562407205,0.2395147032417569,115.64458573872307,312.7116592627969,0.3331594764418382,0.2863370898417975
5,0.75,1.0,0.1,0.05,9.71987709549998,41.531412144615246,0.23484951278961166,148.89960264580446,458.8243333375294,0.33880448962646786,0.2868270012080398
4,0.75,1.0,0.05,0.05,9.948426949502652,42.653886334871636,0.2459518843852386,152.44772390788341,471.57902067034695,0.3486755553710049,0.2973137198781218
1,0.75,0.85,0.05,0.05,10.458605494954892,44.00917402461185,0.2505579087045841,121.28759362236207,326.0563290823846,0.3462573021295413,0.2984076054170627
9,0.75,1.15,0.15,0.05,9.191800005050707,39.72186563861688,0.2271308083914955,200.81484710585374,625.0195335303919,0.39157283562826123,0.3093518220098784
8,0.75,1.15,0.1,0.05,9.317379042161189,40.38829904550793,0.23103203774853198,202.4280733509855,631.1587136265289,0.3945993659294454,0.31281570183898866
7,0.75,1.15,0.05,0.05,9.560242657060265,41.64422206462549,0.2421529699495733,205.8104894945907,642.2623823111496,0.4033824145947095,0.3227676922721414
